System_BioGearsCardiovascularSystemData_HeartRate,System_BioGearsCardiovascularSystemData_SystolicArterialPressure,System_BioGearsCardiovascularSystemData_DiastolicArterialPressure,System_BioGearsCardiovascularSystemData_CardiacOutput,System_BioGearsCardiovascularSystemData_SystemicVascularResistance,System_BioGearsCardiovascularSystemData_BloodVolume,System_BioGearsBloodChemistrySystemData_InflammatoryResponse/BG:TissueIntegrity,System_BioGearsBloodChemistrySystemData_ArterialBloodPH,System_BioGearsRespiratorySystemData_RespirationRate,System_BioGearsRespiratorySystemData_TidalVolume,System_BioGearsRenalSystemData_MeanUrineOutput,System_BioGearsRenalSystemData_UrineProductionRate,System_BioGearsEnergySystemData_SkinTemperature,mins,tbsa,ringers,albumin,tbsa_mins
72.22596,114.330638,73.30826161,5975.894574,0.912993396,5613.857708,0.727975915,7.454698891,24.59016393,0.508949821,1796.148788,0.023356698,35.74179532,15,20,200,0,20_15
71.5899359,115.1369558,73.32378952,6095.380557,0.898042515,5729.883629,0.594928248,7.478310868,25.42372881,0.520835983,1942.529397,0.025092851,35.98737961,30,20,200,0,20_30
70.6730577,116.2467569,72.93599616,6245.694027,0.878293426,5798.931923,0.523619218,7.484248754,26.08695652,0.534402365,2010.15016,0.030420101,36.01093066,45,20,200,0,20_45
70.31611499,116.6782811,73.10906495,6261.538169,0.87885717,5831.834402,0.483311602,7.489625313,26.78571429,0.549145753,2055.851814,0.008277362,35.99833607,60,20,200,0,20_60
70.20626865,116.8756886,73.24253842,6259.737851,0.880823253,5832.109659,0.459985449,7.491204274,27.27272727,0.55411843,2082.74947,0.038311064,35.9773163,75,20,150,0,20_75
70.22712485,116.8850417,73.24874411,6260.606913,0.880797967,5822.947113,0.446471496,7.494861524,27.52293578,0.564263831,2091.220903,0.013585971,35.95690073,90,20,150,0,20_90
70.23631383,116.9201688,73.32077403,6251.322575,0.882785354,5809.573718,0.438899678,7.496743276,27.77777778,0.569492739,2098.684061,0.03798792,35.94020551,105,20,150,0,20_105
70.26983022,116.9233459,73.37292106,6242.272003,0.884476788,5794.928069,0.435010946,7.499048781,28.03738318,0.575118687,2106.126414,0.012950767,35.92775275,120,20,150,0,20_120
70.3201312,116.8765594,73.4320596,6222.378753,0.887664651,5772.527131,0.433446898,7.498978354,28.03738318,0.57494208,2104.301782,0.037154056,35.91869801,135,20,112,0,20_135
70.36057339,116.8172962,73.46450853,6205.366481,0.890209987,5753.096772,0.433369051,7.49996223,28.03738318,0.574768616,2099.958592,0.012207625,35.9125934,150,20,112,0,20_150
